Lieu de prêt,Emplacement,"Nb prêt
02/01/17","Nb prêt
03/01/17","Nb prêt
04/01/17","Nb prêt
05/01/17","Nb prêt
06/01/17","Nb prêt
07/01/17","Nb prêt
09/01/17","Nb prêt
10/01/17","Nb prêt
11/01/17","Nb prêt
12/01/17","Nb prêt
13/01/17","Nb prêt
14/01/17","Nb prêt
16/01/17","Nb prêt
17/01/17","Nb prêt
18/01/17","Nb prêt
19/01/17","Nb prêt
20/01/17","Nb prêt
21/01/17","Nb prêt
23/01/17","Nb prêt
24/01/17","Nb prêt
25/01/17","Nb prêt
26/01/17","Nb prêt
27/01/17","Nb prêt
28/01/17","Nb prêt
30/01/17","Nb prêt
31/01/17"
                         ,PHILOSOPHIE,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE,0,11,23,6,14,22,0,3,3,3,1,44,0,7,7,4,9,3,0,8,10,3,6,17,0,4
                         ,FONDS PRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
                         ,PSYCHOLOGIE,0,2,10,1,2,7,0,0,3,2,3,7,0,4,9,1,4,7,2,1,7,0,0,2,0,3
                         ,ROMANS ADULTES,0,32,56,15,30,34,1,42,50,14,35,41,0,29,42,17,14,46,0,43,12,22,22,50,0,28
                         ,ROMANS JEUNESSE,0,20,42,21,15,47,0,14,44,22,12,20,1,15,48,9,16,45,0,26,37,7,5,16,1,22
                         ,SCIENCES,0,0,0,0,4,3,0,3,1,2,0,9,0,0,4,0,1,6,0,2,10,0,0,6,0,1
                         ,SOCIETE,0,5,11,1,4,7,0,4,12,0,2,11,1,0,5,1,9,16,1,4,13,3,1,14,0,3
                         ,SPORTS ET LOISIRS,0,2,3,0,2,2,0,0,1,0,0,1,0,0,2,0,0,7,0,2,0,0,1,2,0,0
                         ,VIE PRATIQUE,0,4,16,5,14,16,0,15,6,7,2,14,1,7,14,15,9,23,1,18,17,2,4,16,0,11
                         ,THEATRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1
